File,Corrected,Rotation,Notes
D:\DATA\midi\RagtimeSamp\test\Let's Make Love Among The Roses (vers 2) - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Leave Your Razors At The Door - Pitt-Payne.mid,'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Leave Your Razors At The Door - Pitt-Payne.mid,'4/4',0,some tempo deviation
D:\DATA\midi\RagtimeSamp\test\Leave Your Razors At The Door - Pitt-Payne.mid,'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Kismet Rag - Wood ex Laura.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Kentucky Rag (Henry)- Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Johnson Rag - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Is There Anything Else I Can Do For You - Wilson.mid,'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Incineratorag - Wilson.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\I've Got A Feeling I'm Falling - Schwartz.mid,'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Hoosier Rag (Niebergall) - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Heliotrope Bouquet - Schemitsch.mid,'4/4',0,written for guitar
D:\DATA\midi\RagtimeSamp\test\Harlem Rag - MacDonald.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Happy Heinie - MacDonald.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Happy Days - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Go To It - Pitt-Payne.mid,'4/4',0,swing
D:\DATA\midi\RagtimeSamp\test\Foolishness Rag (Weinstein) - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Fig Leaf - unk ex Brunk.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Felicity Rag - Witherwax.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Eugenia - Watanabe026.mid,'2/4',0,
"D:\DATA\midi\RagtimeSamp\test\Ellington Two-Step, The - Pitt-Payne.mid",'2/4',0,
"D:\DATA\midi\RagtimeSamp\test\Easy Winners, The - Stratton ex Cowles.mid",'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Coon Smiles - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Collars And Cuffs - Pitt-Payne.mid,'2/4',0,
"D:\DATA\midi\RagtimeSamp\test\Chrysanthemum, The - Schemitsch.mid",'4/4',0,written for guitar
"D:\DATA\midi\RagtimeSamp\test\Chop-House Rag, The - Pitt-Payne.mid",'4/4',0,
D:\DATA\midi\RagtimeSamp\test\Chatterbox Rag - Watanabe212.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Carmenita - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Business Iin Town - Wilson.mid,'2/4',0,strange combination of swing and straight rhythms
"D:\DATA\midi\RagtimeSamp\test\Bunny Hug Rag, The (De Costa) - Wilson.mid",'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Aunt Hannah - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Atlanta Rag - MacDonald.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Are You From Dixie - Pitt-Payne.mid,'2/4',0,
D:\DATA\midi\RagtimeSamp\test\Angel Food - Pitt-Payne.mid,'2/4',0,
